,subject,predicate,object
108,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/37688,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/37867
109,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7983,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/278169
110,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/37003,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
111,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/552430,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/89829
112,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/192733,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8418
113,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/91387,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/76992
114,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/466867,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/51551
115,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/4143,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
116,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7164,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/43816
117,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8284,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/233201
118,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/42495,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
119,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/296775,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/296774
120,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/115580,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
121,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/2479706,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
122,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/408662,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
123,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/41084,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
124,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/676265,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
125,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/28745,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
126,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/240153,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/69291
127,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/127400,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
128,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/224708,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
129,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/100127,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
130,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7721,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
131,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/2697496,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
132,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/40080,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/268499
133,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6843,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
134,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/70894,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
135,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/7065,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/71527
136,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/185810,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
137,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/3445,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
138,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/6237,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
139,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33284,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
140,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1490020,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
141,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/640628,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
142,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1071978,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/10
143,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/147550,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/715989
144,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/13426,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/4
145,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/581380,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
146,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/39786,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/39784
147,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/108727,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/108640
148,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/210632,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/210631
149,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8353,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/8360
150,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/1124515,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.ncbi.nlm.nih.gov/taxonomy/division/1
